,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,miRNA,spp
mmu-miR-3970,16.7765088119205,-0.0446743360242488,0.0550643347624542,-0.811311645132417,0.417186724245974,0.922394328540973,FALSE,mmu-miR-3970,mmu
hsa-miR-4454,92.4990833917504,0.0241924178533411,0.0299334314946062,0.808207300178744,0.418971255959519,0.922394328540973,FALSE,hsa-miR-4454,hsa
pal-miR-371-5p,1.11655999995446,0.12388071476533,0.153338738101935,0.807889228115195,0.419154352877543,0.922394328540973,FALSE,pal-miR-371-5p,pal
pha-miR-1024,7.06614048010918,0.0527375643112919,0.0654998908769326,0.80515499499656,0.420730243491186,0.922394328540973,FALSE,pha-miR-1024,pha
hsa-miR-4510,3.78867682192852,0.0734602333309887,0.0923752390722054,0.79523727428265,0.426475493192278,0.922394328540973,FALSE,hsa-miR-4510,hsa
hsa-miR-7977,4.50601131835473,0.0651718178199096,0.0827420244921932,0.787650752080142,0.430901019526309,0.922394328540973,FALSE,hsa-miR-7977,hsa
pal-miR-199-3p,234.307703112319,0.0267509611640467,0.0342502526511506,0.781044199484116,0.434776499193666,0.922394328540973,FALSE,pal-miR-199-3p,pal
efu-miR-34a,93.820475431292,-0.0391458834771862,0.0503511180314005,-0.777458078543035,0.436888558336275,0.922394328540973,FALSE,efu-miR-34a,efu
hsa-miR-34a-5p,93.820475431292,-0.0391458834771862,0.0503511180314005,-0.777458078543035,0.436888558336275,0.922394328540973,FALSE,hsa-miR-34a-5p,hsa
hsa-miR-363-5p,1.01227176938988,0.142362342222341,0.184639816253669,0.771027317459823,0.44069073981409,0.922394328540973,FALSE,hsa-miR-363-5p,hsa
pal-miR-363-5p,1.01227176938988,0.142362342222341,0.184639816253669,0.771027317459823,0.44069073981409,0.922394328540973,FALSE,pal-miR-363-5p,pal
hsa-miR-320d,98.6681786627534,-0.0296497501750259,0.0387082531472639,-0.76598006275883,0.443688165225003,0.922394328540973,FALSE,hsa-miR-320d,hsa
hsa-miR-500b-5p,130.551209426651,0.0171406043727148,0.0224189234142567,0.764559655965223,0.444533800557515,0.922394328540973,FALSE,hsa-miR-500b-5p,hsa
efu-miR-27a,2.45366421593554,-0.077830910683513,0.102321870086255,-0.760647851900118,0.446867430109358,0.922394328540973,FALSE,efu-miR-27a,efu
hsa-miR-27a-5p,2.45366421593554,-0.077830910683513,0.102321870086255,-0.760647851900118,0.446867430109358,0.922394328540973,FALSE,hsa-miR-27a-5p,hsa
efu-miR-221,37.897880904484,0.0283970883023749,0.0374610909224481,0.758042214017805,0.44842571159414,0.922394328540973,FALSE,efu-miR-221,efu
hsa-miR-221-5p,37.897880904484,0.0283970883023749,0.0374610909224481,0.758042214017805,0.44842571159414,0.922394328540973,FALSE,hsa-miR-221-5p,hsa
mmu-miR-221-5p,37.897880904484,0.0283970883023749,0.0374610909224481,0.758042214017805,0.44842571159414,0.922394328540973,FALSE,mmu-miR-221-5p,mmu
pha-miR-1036,1.09201697358575,0.112625870783987,0.14881551804453,0.756815366192427,0.449160485506676,0.922394328540973,FALSE,pha-miR-1036,pha
efu-miR-93,43395.8695170046,-0.0155934519503388,0.0207156090131697,-0.752739247995338,0.451606620123023,0.922394328540973,FALSE,efu-miR-93,efu
hsa-miR-93-5p,43395.6587071232,-0.015592226960639,0.0207156893442581,-0.752677195603957,0.451643916748926,0.922394328540973,FALSE,hsa-miR-93-5p,hsa
mmu-miR-155-5p,0.818627861708159,0.129982272555058,0.173313656958867,0.749982862492519,0.453265026310061,0.922394328540973,FALSE,mmu-miR-155-5p,mmu
pal-miR-9226-5p,4.52833969455561,-0.0629922741588429,0.0860858429495099,-0.731737902546746,0.464328557396957,0.930350053065814,FALSE,pal-miR-9226-5p,pal
pha-miR-1060,0.965323272568892,0.12807063499911,0.175608013012807,0.72929835490918,0.465819178366456,0.930350053065814,FALSE,pha-miR-1060,pha
hsa-miR-378a-5p,0.492133557756645,-0.172053976386847,0.235997377835154,-0.729050373208079,0.465970849711632,0.930350053065814,FALSE,hsa-miR-378a-5p,hsa
pha-miR-1026,12.3360127887166,0.137630302437265,0.189084444615669,0.727877445006175,0.466688611271695,0.930350053065814,FALSE,pha-miR-1026,pha
hsa-miR-1260a,690.746118742309,0.0174710031853721,0.0241878780177064,0.722304088543141,0.470107539753519,0.930350053065814,FALSE,hsa-miR-1260a,hsa
pha-miR-1057,0.478280474340728,-0.199977880621113,0.282777434780019,-0.70719179122861,0.479447299119329,0.930350053065814,FALSE,pha-miR-1057,pha
pal-miR-186-3p,2.8111999236752,0.0839440702609475,0.118747581244194,0.706911832488812,0.479621270315775,0.930350053065814,FALSE,pal-miR-186-3p,pal
efu-miR-30b,1867.55197810693,0.0200177797477433,0.0287810665442227,0.695519039121973,0.486730083795484,0.930350053065814,FALSE,efu-miR-30b,efu
pal-miR-30c-5p,1865.42247494291,0.0199977870585891,0.0287919478977748,0.694561796568637,0.487329960923439,0.930350053065814,FALSE,pal-miR-30c-5p,pal
hsa-miR-30c-5p,3734.70242387718,0.019957906645992,0.0287545439049652,0.694078358952715,0.487633069396297,0.930350053065814,FALSE,hsa-miR-30c-5p,hsa
hsa-miR-29a-5p,0.415006277370914,0.18189000627692,0.262363022918128,0.693276073182311,0.488136315569334,0.930350053065814,FALSE,hsa-miR-29a-5p,hsa
efu-miR-215,3.62702158939918,0.0779164668586445,0.112532483818888,0.692390892073837,0.488691883994699,0.930350053065814,FALSE,efu-miR-215,efu
hsa-miR-3064-5p,15.566543535567,0.0294557378228977,0.04290896324617,0.686470508595354,0.492416455299921,0.930350053065814,FALSE,hsa-miR-3064-5p,hsa
hsa-miR-181b-5p,1676.92098072448,-0.0184955787849195,0.0269830405143702,-0.685451988817545,0.493058747192147,0.930350053065814,FALSE,hsa-miR-181b-5p,hsa
pal-miR-331-5p,93.5052423119217,-0.0204349388011649,0.0298182999102863,-0.685315355424257,0.493144944128473,0.930350053065814,FALSE,pal-miR-331-5p,pal
mmu-miR-181b-5p,1677.37137856463,-0.0184713491943,0.0269907260424086,-0.684359107838643,0.493748431111095,0.930350053065814,FALSE,mmu-miR-181b-5p,mmu
efu-miR-181e,842.505736362799,-0.0182012275495826,0.02700246495282,-0.6740580010523,0.500274439475686,0.934317632875414,FALSE,efu-miR-181e,efu
mmu-miR-378c,4.22208843485918,0.0556264341725373,0.0827891038770465,0.671905257667125,0.50164401304326,0.934317632875414,FALSE,mmu-miR-378c,mmu
hsa-miR-17-5p,12308.7024700508,-0.020684668367037,0.0308641946867272,-0.670183316849416,0.502740937591439,0.934317632875414,FALSE,hsa-miR-17-5p,hsa
hsa-miR-215-5p,3.60392272575696,0.0742850751529949,0.112148634366124,0.662380559271741,0.507727359663965,0.939295615378336,FALSE,hsa-miR-215-5p,hsa
hsa-miR-411-5p,0.660900819250353,0.222545669015042,0.34393577938273,0.64705588181157,0.517595777274261,0.953219372627258,FALSE,hsa-miR-411-5p,hsa
hsa-miR-92a-2-5p,0.772714434077652,-0.13099189894161,0.206133772038894,-0.63547034358297,0.525121702679586,0.962723121579242,FALSE,hsa-miR-92a-2-5p,hsa
hsa-miR-4286,10.956104449833,0.0380772556813906,0.0607657846391005,0.626623286567246,0.530906200250186,0.964113454041242,FALSE,hsa-miR-4286,hsa
