"","BatProtein","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","eggNOG_OGs","Preferred_name","ortho_gene"
"652","XP_045674705","CFAP20",14.1826175249687,0.00418473358321739,0.132600939772164,0.0315588531303597,0.974823857476891,0.985954510908844,FALSE,"3J72F","CFAP20","CFAP20_3J72F"
"653","XP_045674710","CDH1",119.583831919762,-0.06718851090539,0.056527151409247,-1.18860599252484,0.234594748657676,0.356923287647421,FALSE,"3J6IJ","CDH1","CDH1_3J6IJ"
"655","XP_045674722","LOC123805907",283.911761750542,0.119506836224485,0.0385609721890696,3.09916554070594,0.00194066553868704,0.00526297201992038,TRUE,"3JGJJ","CYB5B","CYB5B_3JGJJ"
"662","XP_045674756","GINS2",26.3886911512442,0.100106516299381,0.0946044152429907,1.05815903033974,0.289982945958906,0.420028599924035,FALSE,"3J59J","GINS2","GINS2_3J59J"
"666","XP_045674768","DHODH",2.89147552506942,-0.110122460763932,0.277906873147275,-0.396256701091279,0.691915665915219,0.795186127030329,FALSE,"3JBPW","DHODH","DHODH_3JBPW"
"670","XP_045674777","EXOSC6",7.00209874843058,-0.0477275661840897,0.173527186212453,-0.275043739403784,0.783282634495069,0.86269283726145,FALSE,"3J7IB","EXOSC6","EXOSC6_3J7IB"
"675","XP_045674795","CIAO2B",29.0327046678928,0.00108942620220231,0.0906325623132125,0.0120202516004945,0.99040945778212,0.994627925876651,FALSE,"3JBE8","FAM96B","FAM96B_3JBE8"
"681","XP_045674820","ENKD1",0.984276428362552,-0.026122605671831,0.526788101027405,-0.0495884505000845,0.960450350475482,0.977728660722572,FALSE,"3JCS0","ENKD1","ENKD1_3JCS0"
"683","XP_045674823","GPR151",1.04932876862731,-0.151891054034689,0.487487039281758,-0.311579676576588,0.75535998160521,0.843216102184463,FALSE,"3JC00","GPR151","GPR151_3JC00"
"684","XP_045674827","CPNE7",0.0304308827450729,-0.056576490150596,3.01749757578546,-0.0187494732736841,0.98504096121381,NA,FALSE,"3J8PN","CPNE7","CPNE7_3J8PN"
"685","XP_045674828","GOT2",75.8651346590269,-0.00917636161225683,0.0719576104104267,-0.127524546186531,0.898525246733654,0.939729633456013,FALSE,"3JFDI","GOT2","GOT2_3JFDI"
"688","XP_045674834","PLAC8L1",0.136326482612406,-0.144887681884043,3.0164237689771,-0.0480329333610763,0.961689995862587,NA,FALSE,"3JDRU","PLAC8L1","PLAC8L1_3JDRU"
"695","XP_045674857","DUS2",51.5523654216479,0.121422679026178,0.0759270177505093,1.5992025318993,0.109775607948205,0.192311224020277,FALSE,"3JD3I","DUS2","DUS2_3JD3I"
"700","XP_045674889","LOC123805993",0.0722465525177091,-0.309945348447857,3.01640069130056,-0.102753374026785,0.918158711443951,NA,FALSE,"3J6QD","TEPP","TEPP_3J6QD"
"702","XP_045674893","CCL22",10.399859887937,5.50602839887161,0.356204013504675,15.4575136442121,6.71404836771953e-54,2.10246752889936e-52,TRUE,"3JHS6","CCL22","CCL22_3JHS6"
"712","XP_045674921","ATP6V0D1",242.993626221971,0.0253157052004834,0.0580951049361522,0.435763137501962,0.663008591612074,0.772530287014272,FALSE,"3J9TT","ATP6V0D1","ATP6V0D1_3J9TT"
"730","XP_045674969","SHCBP1",5.61425859794939,0.731151867315616,0.202952861047773,3.6025698950039,0.000315086639959977,0.000967589369561063,TRUE,"3JBW2","SHCBP1","SHCBP1_3JBW2"
"732","XP_045674971","DNAJA2",2296.83882187057,-0.019226314697937,0.0485825677895896,-0.395745131900106,0.692293057419907,0.795437479548041,FALSE,"3J5M9","DNAJA2","DNAJA2_3J5M9"
"737","XP_045675002","CDYL2",45.4767194016127,0.0578064906670619,0.0809391949028121,0.714196511794727,0.475105673540111,0.608659150129333,FALSE,"3J77E","CDYL2","CDYL2_3J77E"
"743","XP_045675011","EDC4",70.8576982911272,0.0645870584226961,0.0573487643653736,1.12621534460981,0.260074380035523,0.386842242797063,FALSE,"3J44X","EDC4","EDC4_3J44X"
