"","Sample_no","Phase","Phase.batch","Univ.ID","Band","Yr","Mon","Ban_Yr_Mo","Trtmt","Additive","Temp","Duration","SampleTime","DecTime","Sex","Age.all.bat.","Est.Age","Cave","Site","Group","FA","WT","TTH","STATUS","REP","LN.N.L..","X"
"Phase3.S7","S7",3,"Phase3","Phase3.S7",4714,2023,5,"4714_2023_5","C","PBS","38C",3,"3:12 pm",15.2,"F",7.53,7.53,"Tamana","Rd Chamber","R7",80.2,74,NA,"","L",0.736737617,""
"Phase3.S8","S8",3,"Phase3","Phase3.S8",4714,2023,5,"4714_2023_5","TH","LPS_1","38C",3,"3:12 pm",15.2,"F",7.53,7.53,"Tamana","Rd Chamber","R7",80.2,74,NA,"","L",0.736737617,""
"Phase3.S9","S9",3,"Phase3","Phase3.S9",4732,2023,5,"4732_2023_5","C","PBS","38C",3,"1:44 pm",13.73,"M",3.16,3.16,"Tamana","Lg Chamber","L12",85.6,95,1.5,"B","AT",0.221737411,""
"Phase4.S1","S1",4,"Phase4","Phase4.S1",6218,2023,5,"6218_2023_5","C","PBS","38C",3,"1:07 pm",13.12,"F",3.78,3.78,"IH2","Stairwell","St_NearRt",76.55,66.5,2,"","EL",-0.719941534,""
"Phase4.S10","S10",4,"Phase4","Phase4.S10",6207,2023,5,"6207_2023_5","TH","LPS_1","38C",3,"1:22 pm",13.37,"M",5.3,5.3,"IH2","Stairwell","St_S",81.63,94.5,2,"B","ST",1.797823769,""
"Phase4.S11","S11",4,"Phase4","Phase4.S11",6216,2023,5,"6216_2023_5","C","PBS","38C",3,"12:46 pm",12.77,"F",4.67,4.67,"IH2","Stairwell","St_NearRt",83.2,81.5,2.5,"","EL",-0.109727335,""
"Phase4.S12","S12",4,"Phase4","Phase4.S12",6216,2023,5,"6216_2023_5","TH","LPS_1","38C",3,"12:46 pm",12.77,"F",4.67,4.67,"IH2","Stairwell","St_NearRt",83.2,81.5,2.5,"","EL",-0.109727335,""
"Phase4.S13","S13",4,"Phase4","Phase4.S13",6229,2023,5,"6229_2023_5","C","PBS","38C",3,"1:01 pm",13.02,"M",4.05,4.05,"IH2","Elevator","El_CR",83.03,91,2.5,"H","ST",0.697823728,""
"Phase4.S14","S14",4,"Phase4","Phase4.S14",6229,2023,5,"6229_2023_5","TH","LPS_1","38C",3,"1:01 pm",13.02,"M",4.05,4.05,"IH2","Elevator","El_CR",83.03,91,2.5,"H","ST",0.697823728,""
"Phase4.S15","S15",4,"Phase4","Phase4.S15",6254,2023,5,"6254_2023_5","C","PBS","38C",3,"11:49 am",11.82,"F",5.95,5.95,"IH2","Elevator","El_CL",78.94,87.5,2,"","NL",0.238625915,""
"Phase4.S16","S16",4,"Phase4","Phase4.S16",6254,2023,5,"6254_2023_5","TH","LPS_1","38C",3,"11:49 am",11.82,"F",5.95,5.95,"IH2","Elevator","El_CL",78.94,87.5,2,"","NL",0.238625915,""
"Phase4.S17","S17",4,"Phase4","Phase4.S17",6160,2023,5,"6160_2023_5","C","PBS","38C",3,"12:29 pm",12.48,"M",3.67,3.67,"IH2","Stairwell","St_N",81.03,92.5,1.5,"B","AT",-0.424222474,""
"Phase4.S18","S18",4,"Phase4","Phase4.S18",6160,2023,5,"6160_2023_5","TH","LPS_1","38C",3,"12:29 pm",12.48,"M",3.67,3.67,"IH2","Stairwell","St_N",81.03,92.5,1.5,"B","AT",-0.424222474,""
"Phase4.S19","S19",4,"Phase4","Phase4.S19",6163,2023,5,"6163_2023_5","C","PBS","38C",3,"12:04 pm",12.07,"M",1.74,1.74,"IH2","Stairwell","St_N",81.46,86.5,1.5,"B","AT",-0.137555543,""
"Phase4.S2","S2",4,"Phase4","Phase4.S2",6218,2023,5,"6218_2023_5","TH","LPS_1","38C",3,"1:07 pm",13.12,"F",3.78,3.78,"IH2","Stairwell","St_NearRt",76.55,66.5,2,"","EL",-0.719941534,""
"Phase4.S20","S20",4,"Phase4","Phase4.S20",6163,2023,5,"6163_2023_5","TH","LPS_1","38C",3,"12:04 pm",12.07,"M",1.74,1.74,"IH2","Stairwell","St_N",81.46,86.5,1.5,"B","AT",-0.137555543,""
"Phase4.S21","S21",4,"Phase4","Phase4.S21",6225,2023,5,"6225_2023_5","C","PBS","38C",3,"12:20 pm",12.33,"F",9.93,9.93,"IH2","Elevator","El_CR",83.07,78.5,4,"","L",0.012766131,""
"Phase4.S22","S22",4,"Phase4","Phase4.S22",6225,2023,5,"6225_2023_5","TH","LPS_1","38C",3,"12:20 pm",12.33,"F",9.93,9.93,"IH2","Elevator","El_CR",83.07,78.5,4,"","L",0.012766131,""
"Phase4.S23","S23",4,"Phase4","Phase4.S23",6228,2023,5,"6228_2023_5","C","PBS","38C",3,"12:40 pm",12.67,"F",9.02,9.02,"IH2","Elevator","El_CR",84.52,81,2.5,"","EL",-0.438696725,""
"Phase4.S24","S24",4,"Phase4","Phase4.S24",6228,2023,5,"6228_2023_5","TH","LPS_1","38C",3,"12:40 pm",12.67,"F",9.02,9.02,"IH2","Elevator","El_CR",84.52,81,2.5,"","EL",-0.438696725,""
"Phase4.S25","S25",4,"Phase4","Phase4.S25",6157,2023,5,"6157_2023_5","C","PBS","38C",3,"11:54 am",11.9,"M",5.77,5.77,"IH2","Stairwell","St_N",82.66,93.5,2.5,"B","ST",-0.014538158,""
"Phase4.S26","S26",4,"Phase4","Phase4.S26",6157,2023,5,"6157_2023_5","TH","LPS_1","38C",3,"11:54 am",11.9,"M",5.77,5.77,"IH2","Stairwell","St_N",82.66,93.5,2.5,"B","ST",-0.014538158,""
"Phase4.S27","S27",4,"Phase4","Phase4.S27",6157,2024,5,"6157_2024_5","CpG","CpG","38C",3,"11:54 am",11.9,"M",5.77,5.77,"IH2","Stairwell","St_N",82.66,93.5,2.5,"B","ST",-0.014538158,""
