,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,miRNA
mmy-can-383,41.9304406339107,0.204533274830068,0.20569401199983,0.994356971510857,0.320049108466201,0.567145846620253,FALSE,mmy-can-383
pha-miR-146,2.50617156470824,0.50762273391195,0.512532591995972,0.990420398310863,0.321968679200698,0.568457521519181,FALSE,pha-miR-146
hsa-miR-100-5p,147.783326700975,-0.211998348344487,0.215778980569624,-0.982479145025356,0.325863852253993,0.572242602504609,FALSE,hsa-miR-100-5p
mlu-miR-100-5p,147.798474015396,-0.211670642321212,0.215723102911003,-0.981214526700631,0.326486962009891,0.572242602504609,FALSE,mlu-miR-100-5p
mmu-miR-150-5p,177.056557934539,0.238743693516427,0.245320466406154,0.973191095769241,0.330458335438393,0.577104774207628,FALSE,mmu-miR-150-5p
mmu-miR-194-5p,9832.63602081553,-0.156062783617625,0.162002957938814,-0.96333292677636,0.335380474398437,0.582470276012205,FALSE,mmu-miR-194-5p
pha-miR-150,2.49881917880921,0.404813588601489,0.4207153186844,0.962203111280483,0.335947586579654,0.582470276012205,FALSE,pha-miR-150
pha-miR-14,235.736832699439,0.154518350506477,0.161645821729945,0.955906863863291,0.339119290913414,0.585862000789482,FALSE,pha-miR-14
hsa-miR-874-5p,0.763274226028695,0.824233487163134,0.866398890991015,0.951332574099153,0.341435576188758,NA,FALSE,hsa-miR-874-5p
mlu-miR-874-5p,0.763274226028695,0.824233487163134,0.866398890991015,0.951332574099153,0.341435576188758,NA,FALSE,mlu-miR-874-5p
mmu-miR-874-5p,0.763274226028695,0.824233487163134,0.866398890991015,0.951332574099153,0.341435576188758,NA,FALSE,mmu-miR-874-5p
rno-miR-874-5p,0.763274226028695,0.824233487163134,0.866398890991015,0.951332574099153,0.341435576188758,NA,FALSE,rno-miR-874-5p
mmy-can-316,0.935976815329888,0.587287902848711,0.620193772052365,0.946942599738207,0.343668028952387,NA,FALSE,mmy-can-316
mmu-miR-3962,11.0016865016774,-0.238620245071798,0.25313776144556,-0.942649740240812,0.345860088914977,0.595373438775067,FALSE,mmu-miR-3962
hsa-miR-182-5p,1.39392232058343,-0.607571004567353,0.650483657300124,-0.934029622034037,0.350288613139414,NA,FALSE,hsa-miR-182-5p
mmy-can-478,1.39392232058343,-0.607571004567353,0.650483657300124,-0.934029622034037,0.350288613139414,NA,FALSE,mmy-can-478
pha-miR-148,2.76419699362988,0.400895600245143,0.430172061321903,0.931942439528047,0.351366273361856,0.60269944398724,FALSE,pha-miR-148
mmy-can-413,5.86089793630163,0.329220143512912,0.357356333003556,0.921265731450283,0.356911707790217,0.607884958144469,FALSE,mmy-can-413
pha-miR-130,5.86089793630163,0.329220143512912,0.357356333003556,0.921265731450283,0.356911707790217,0.607884958144469,FALSE,pha-miR-130
mlu-miR-218-5p,0.961507757853147,0.626669995926039,0.682532357227432,0.918154266666103,0.358538107737639,NA,FALSE,mlu-miR-218-5p
mmy-can-466,0.961507757853147,0.626669995926039,0.682532357227432,0.918154266666103,0.358538107737639,NA,FALSE,mmy-can-466
pha-miR-185,0.622751429836543,0.826891379504196,0.90810795060282,0.910565069885458,0.362524582061751,NA,FALSE,pha-miR-185
mmy-can-427,1.89547403687504,0.47059959029737,0.522013679087961,0.901508158022947,0.367318198241795,NA,FALSE,mmy-can-427
pha-miR-151,2.73009385054484,-0.401313090007102,0.448774051150776,-0.894243080628277,0.371191846856019,0.629980528819018,FALSE,pha-miR-151
hsa-miR-4510,3.56082584953734,0.33966949706638,0.382962037927272,0.886953440358719,0.375103968151379,0.634386360171805,FALSE,hsa-miR-4510
mlu-miR-130b-3p,474.951175075392,0.150096107292148,0.171434396070784,0.875530877888554,0.381285116831398,0.642585406687881,FALSE,mlu-miR-130b-3p
pha-miR-164,1.77090790368399,0.442212596182474,0.509873317962584,0.867298955649459,0.385778228760398,NA,FALSE,pha-miR-164
hsa-miR-432-5p,0.789449025583753,0.785309479410309,0.905971112550068,0.866815142924227,0.386043303701356,NA,FALSE,hsa-miR-432-5p
mmu-miR-183-5p,0.850147704749061,0.808422135220295,0.938659571257627,0.861251682691693,0.389099440731287,NA,FALSE,mmu-miR-183-5p
mmy-can-435,0.850147704749061,0.808422135220295,0.938659571257627,0.861251682691693,0.389099440731287,NA,FALSE,mmy-can-435
pha-miR-186,0.898514324371841,0.555151138279707,0.660047443947687,0.841077627631426,0.400304447550291,NA,FALSE,pha-miR-186
pha-miR-156,2.42246362019636,-0.351687496940464,0.419182426352241,-0.838984353425493,0.401478089869994,0.674259370443684,FALSE,pha-miR-156
pha-miR-190,0.608102624111026,-0.649321726629485,0.780001958505627,-0.832461661857226,0.40514840948921,NA,FALSE,pha-miR-190
mmu-let-7k,4.44592815844752,0.312697923916218,0.375766617777232,0.832159934179135,0.405318675655438,0.678345839117781,FALSE,mmu-let-7k
mmy-can-323,1.45625511539327,-0.477258525477916,0.576010209853926,-0.828559142378652,0.407353915688006,NA,FALSE,mmy-can-323
mmy-can-268,4.02523158460993,0.273721070316853,0.330433119362271,0.82837056662216,0.407460670150737,0.679571083088773,FALSE,mmy-can-268
hsa-miR-885-5p,0.476835281534317,-0.96603526836717,1.16915877918434,-0.82626524777167,0.408653642610363,NA,FALSE,hsa-miR-885-5p
mmy-can-461,0.476835281534317,-0.96603526836717,1.16915877918434,-0.82626524777167,0.408653642610363,NA,FALSE,mmy-can-461
pha-miR-197,0.533340657488868,-0.799600087922155,0.97309760738203,-0.821705943839854,0.411244275496855,NA,FALSE,pha-miR-197
mmu-miR-106a-5p,18.6509655619525,-0.251174472193886,0.307235688301144,-0.817530260181532,0.413625463651412,0.685924191346399,FALSE,mmu-miR-106a-5p
pha-miR-189,0.60584898141659,-0.715255447221041,0.875316745017073,-0.817138997160496,0.413848999259021,NA,FALSE,pha-miR-189
hsa-miR-34a-5p,94.2518519782409,0.195845676219107,0.240435852541428,0.814544395725514,0.415333149873673,0.685924191346399,FALSE,hsa-miR-34a-5p
hsa-miR-32-5p,45.9216841466276,-0.238837458420157,0.295778046511875,-0.807488795185373,0.419384927410056,0.685924191346399,FALSE,hsa-miR-32-5p
mlu-miR-32-5p,45.9216841466276,-0.238837458420157,0.295778046511875,-0.807488795185373,0.419384927410056,0.685924191346399,FALSE,mlu-miR-32-5p
hsa-miR-505-5p,726.000783405565,0.18348686150821,0.229402158022325,0.799848018388536,0.423798858097835,0.685924191346399,FALSE,hsa-miR-505-5p
rno-miR-505-5p,726.000783405565,0.18348686150821,0.229402158022325,0.799848018388536,0.423798858097835,0.685924191346399,FALSE,rno-miR-505-5p
mlu-miR-32-3p,6.84227025202415,-0.209234036071077,0.264149536468144,-0.792104498340889,0.428299747403234,0.685924191346399,FALSE,mlu-miR-32-3p
hsa-miR-582-5p,2.36167912530061,-0.347628188430509,0.439602674277256,-0.790778147567094,0.429073463964945,0.685924191346399,FALSE,hsa-miR-582-5p
mlu-miR-582-5p,2.36167912530061,-0.347628188430509,0.439602674277256,-0.790778147567094,0.429073463964945,0.685924191346399,FALSE,mlu-miR-582-5p
mmy-can-434,2.36167912530061,-0.347628188430509,0.439602674277256,-0.790778147567094,0.429073463964945,0.685924191346399,FALSE,mmy-can-434
mlu-miR-27b-3p,2265.72014473442,-0.081440531834004,0.103063800483799,-0.790195310591189,0.429413714265613,0.685924191346399,FALSE,mlu-miR-27b-3p
hsa-miR-130b-5p,8.85334754162771,0.184857598530449,0.234843645361044,0.787151801558232,0.431193008253027,0.685924191346399,FALSE,hsa-miR-130b-5p
