gene	description
HNRNPA3	heterogeneous nuclear ribonucleoprotein A3%2C transcript variant X2;transcript_id=XM_045841166.1
HNRNPA3	heterogeneous nuclear ribonucleoprotein A3%2C transcript variant X4;transcript_id=XM_045841317.1
HNRNPA3	heterogeneous nuclear ribonucleoprotein A3%2C transcript variant X1;transcript_id=XM_045841100.1
HNRNPA3	heterogeneous nuclear ribonucleoprotein A3%2C transcript variant X3;transcript_id=XM_045841255.1
LOC123808862	uncharacterized LOC123808862%2C transcript variant X1;transcript_id=XR_006783847.1
LOC123808862	uncharacterized LOC123808862%2C transcript variant X2;transcript_id=XR_006783850.1
MTX2	metaxin 2;transcript_id=XM_045831376.1
HOXD1	homeobox D1;transcript_id=XM_045828019.1
LOC123811694	uncharacterized LOC123811694%2C transcript variant X1;transcript_id=XR_006784424.1
LOC123811694	uncharacterized LOC123811694%2C transcript variant X2;transcript_id=XR_006784428.1
HOXD3	homeobox D3%2C transcript variant X2;transcript_id=XM_045830683.1
HOXD3	homeobox D3%2C transcript variant X3;transcript_id=XM_045830688.1
HOXD3	homeobox D3%2C transcript variant X1;transcript_id=XM_045830680.1
HOXD4	homeobox D4;transcript_id=XM_045830703.1
LOC123813631	uncharacterized LOC123813631;transcript_id=XR_006784789.1
HOXD8	homeobox D8%2C transcript variant X2;transcript_id=XM_045847121.1
HOXD8	homeobox D8%2C transcript variant X1;transcript_id=XM_045839740.1
HOXD9	homeobox D9;transcript_id=XM_045827030.1
HOXD11	homeobox D11%2C transcript variant X2;transcript_id=XR_006784363.1
HOXD11	homeobox D11%2C transcript variant X3;transcript_id=XR_006784365.1
HOXD11	homeobox D11%2C transcript variant X4;transcript_id=XR_006784368.1
HOXD11	homeobox D11%2C transcript variant X1;transcript_id=XM_045827158.1
HOXD10	homeobox D10;transcript_id=XM_045826919.1
HOXD12	homeobox D12;transcript_id=XM_045855726.1
HOXD13	homeobox D13;transcript_id=XM_045854585.1
EVX2	even-skipped homeobox 2;transcript_id=XM_045853381.1
LNPK	lunapark%2C ER junction formation factor%2C transcript variant X1;transcript_id=XM_045858193.1
LNPK	lunapark%2C ER junction formation factor%2C transcript variant X2;transcript_id=XM_045858273.1
LNPK	lunapark%2C ER junction formation factor%2C transcript variant X3;transcript_id=XM_045858325.1
ATP5MC3	ATP synthase membrane subunit c locus 3;transcript_id=XM_045831560.1
ATF2	activating transcription factor 2%2C transcript variant X2;transcript_id=XM_045823567.1
ATF2	activating transcription factor 2%2C transcript variant X1;transcript_id=XM_045823494.1
CHN1	chimerin 1%2C transcript variant X1;transcript_id=XM_045830448.1
CHN1	chimerin 1%2C transcript variant X2;transcript_id=XM_045830459.1
CHN1	chimerin 1%2C transcript variant X3;transcript_id=XM_045830467.1
CHRNA1	cholinergic receptor nicotinic alpha 1 subunit;transcript_id=XM_045855684.1
LOC123827365	uncharacterized LOC123827365;transcript_id=XR_006787218.1
WIPF1	WAS/WASL interacting protein family member 1%2C transcript variant X4;transcript_id=XM_045851834.1
WIPF1	WAS/WASL interacting protein family member 1%2C transcript variant X3;transcript_id=XM_045851751.1
WIPF1	WAS/WASL interacting protein family member 1%2C transcript variant X2;transcript_id=XM_045851668.1
WIPF1	WAS/WASL interacting protein family member 1%2C transcript variant X1;transcript_id=XM_045851587.1
GPR155	G protein-coupled receptor 155%2C transcript variant X2;transcript_id=XM_045852999.1
GPR155	G protein-coupled receptor 155%2C transcript variant X1;transcript_id=XM_045852903.1
SCRN3	secernin 3%2C transcript variant X4;transcript_id=XM_045845993.1
SCRN3	secernin 3%2C transcript variant X3;transcript_id=XM_045845905.1
SCRN3	secernin 3%2C transcript variant X2;transcript_id=XM_045845829.1
SCRN3	secernin 3%2C transcript variant X1;transcript_id=XM_045845736.1
CIR1	corepressor interacting with RBPJ%2C CIR1;transcript_id=XM_045845608.1
SP9	Sp9 transcription factor;transcript_id=XM_045830852.1
OLA1	Obg like ATPase 1;transcript_id=XM_045828950.1
SP3	Sp3 transcription factor%2C transcript variant X2;transcript_id=XM_045844839.1
