,Phase,Phase.batch,Band,Ban_Yr_Mo,Trtmt,Additive,Temp,Duration,SampleTime,DecTime,Sex,Est.Age,Cave,Site,Group,FA,WT,TTH,STATUS,LN.N.L..
Phase5.b1.S18,5,Phase5.b1,6115,6115_2024_1,TH,LPS_1,38C,3,3:20 pm,15.33,M,5.3,Tamana,Rd Chamber,R6,82.1,85.5,2.5,H,1.261651916
Phase5.b1.S19,5,Phase5.b1,6123,6123_2024_1,C,PBS,38C,3,4:13 pm,16.22,F,17.28,Tamana,Rd Chamber,R10,82.32,67.5,4.5,,-0.193706879
Phase5.b1.S2,5,Phase5.b1,3991,3991_2024_1,TH,LPS_1,38C,3,2:40 pm,14.67,F,5.8,Tamana,Rd Chamber,R9,81.87,74.5,2.5,,0.828856432
Phase5.b1.S20,5,Phase5.b1,6123,6123_2024_1,TH,LPS_1,38C,3,4:13 pm,16.22,F,17.28,Tamana,Rd Chamber,R10,82.32,67.5,4.5,,-0.193706879
Phase5.b1.S21,5,Phase5.b1,6150,6150_2024_1,C,PBS,38C,3,4:37 pm,16.62,M,6.1,Tamana,Lg Chamber,L18,84.24,90.5,2,B,0.709044487
Phase5.b1.S22,5,Phase5.b1,6150,6150_2024_1,TH,LPS_1,38C,3,4:37 pm,16.62,M,6.1,Tamana,Lg Chamber,L18,84.24,90.5,2,B,0.709044487
Phase5.b1.S23,5,Phase5.b1,6194,6194_2024_1,C,PBS,38C,3,4:47 pm,16.78,M,0.8,Tamana,Lg Chamber,R11,82.73,73.6,1,B,1.183169677
Phase5.b1.S24,5,Phase5.b1,6194,6194_2024_1,TH,LPS_1,38C,3,4:47 pm,16.78,M,0.8,Tamana,Lg Chamber,R11,82.73,73.6,1,B,1.183169677
Phase5.b1.S25,5,Phase5.b1,6199,6199_2024_1,C,PBS,38C,3,4:00 pm,16,M,9.9,Tamana,Rd Chamber,R10,82.87,98,4,H,2.539733291
Phase5.b1.S26,5,Phase5.b1,6199,6199_2024_1,TH,LPS_1,38C,3,4:00 pm,16,M,9.9,Tamana,Rd Chamber,R10,82.87,98,4,H,2.539733291
